Ticker,CIK10,FiscalYear,FY_EndDate,TA,TL,CA,CL,RE,EBIT,Sales,NI,CFO,LT,Shares_EOP,GP,SE,WC,BVE,Price_Close_near_FYEnd,Shares_Yahoo_proxy,Altman_Z_original_FY,Altman_Zpp_FY,Piotroski_F_FY,Altman_Z_original_GF,Piotroski_F_GF,GF_MVE_Mode,GF_MVE_Current,SIC,SIC_Desc,Is_Manufacturing
ORCL,0001341439,2010,2010-05-31,61578000000.0,30780000000.0,27004000000.0,14691000000.0,16146000000.0,9062000000.0,2290000000.0,6230000000.0,8681000000.0,,5026247000.0,,30798000000.0,12313000000.0,30798000000.0,22.200000762939453,2808829952.0,3.3049624297922784,4.206057212846009,,14.723941178702422,,current,697376297053.8125,,,False
ORCL,0001341439,2011,2011-05-31,73535000000.0,33759000000.0,39174000000.0,14192000000.0,22581000000.0,12033000000.0,6944000000.0,8644000000.0,11214000000.0,,5065515000.0,,39776000000.0,24982000000.0,39776000000.0,34.220001220703125,2808829952.0,4.5528287986419915,5.566481884495057,6.0,13.866511684455954,6.0,current,697376297053.8125,,,False
ORCL,0001341439,2012,2012-05-31,78327000000.0,34639000000.0,40023000000.0,15388000000.0,26087000000.0,13706000000.0,37121000000.0,9981000000.0,13743000000.0,,4882506000.0,,43688000000.0,24635000000.0,43688000000.0,26.469999313354492,2808829952.0,4.133694555671976,5.649162146689212,6.0,13.974677839017858,6.0,current,697376297053.8125,,,False
ORCL,0001341439,2013,2013-05-31,81812000000.0,37164000000.0,41692000000.0,12872000000.0,25854000000.0,14684000000.0,37180000000.0,10925000000.0,14224000000.0,,4630807000.0,,44648000000.0,28820000000.0,44648000000.0,33.779998779296875,2808829952.0,4.437392182951239,5.8086978201722586,6.0,13.170805845312445,7.0,current,697376297053.8125,,,False
ORCL,0001341439,2014,2014-05-31,90344000000.0,43466000000.0,48138000000.0,14389000000.0,25965000000.0,14759000000.0,38275000000.0,10955000000.0,14921000000.0,,4454889000.0,,46878000000.0,33749000000.0,46878000000.0,42.02000045776367,2808829952.0,4.397408506369714,5.617721679621596,5.0,11.439904147576996,7.0,current,697376297053.8125,,,False
ORCL,0001341439,2015,2015-05-31,110903000000.0,62240000000.0,63183000000.0,15291000000.0,26503000000.0,13871000000.0,38226000000.0,9938000000.0,14336000000.0,,4336077000.0,,48663000000.0,47892000000.0,48663000000.0,43.790000915527344,2808829952.0,3.440622014761837,5.273352690396471,5.0,8.332969199087179,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2016,2016-05-31,112180000000.0,64891000000.0,64313000000.0,17208000000.0,23888000000.0,12604000000.0,37047000000.0,8901000000.0,13561000000.0,,4122730000.0,,47289000000.0,47105000000.0,47289000000.0,40.20000076293945,2808829952.0,3.0354452368810465,4.968984843096554,4.0,7.951158182359641,4.0,current,697376297053.8125,,,False
ORCL,0001341439,2017,2017-05-31,134991000000.0,81131000000.0,74515000000.0,24178000000.0,27598000000.0,12710000000.0,37728000000.0,9335000000.0,14126000000.0,,4136682000.0,23017000000.0,53860000000.0,50337000000.0,53860000000.0,45.38999938964844,2808829952.0,2.7124839337304354,4.442429017613275,3.0,6.481294649229882,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2018,2018-05-31,137264000000.0,91538000000.0,75964000000.0,19195000000.0,18412000000.0,13679000000.0,39831000000.0,3825000000.0,15386000000.0,,3981155000.0,24287000000.0,45726000000.0,56769000000.0,45726000000.0,46.720001220703125,2808829952.0,2.5222817767670427,4.344522498318748,6.0,5.874179768381481,6.0,current,697376297053.8125,,,False
ORCL,0001341439,2019,2019-05-31,108709000000.0,86924000000.0,46386000000.0,18630000000.0,-3496000000.0,13535000000.0,39506000000.0,11083000000.0,14551000000.0,,3335819000.0,,21785000000.0,27756000000.0,21785000000.0,50.599998474121094,2808829952.0,2.2007519416484254,2.6699226625566768,6.0,5.849345154642776,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2020,2020-05-31,115438000000.0,103364000000.0,52140000000.0,17200000000.0,-12696000000.0,13896000000.0,39068000000.0,10135000000.0,13139000000.0,,3068682000.0,,12074000000.0,34940000000.0,12074000000.0,53.060001373291016,2808829952.0,1.8900597108503248,2.5585781840626667,5.0,4.992989314501222,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2021,2021-05-31,131107000000.0,125869000000.0,55567000000.0,24164000000.0,-20120000000.0,15213000000.0,40479000000.0,13746000000.0,15887000000.0,,2792000000.0,,5238000000.0,31403000000.0,5238000000.0,79.56999969482422,2808829952.0,1.8232453020972932,1.8944268167150966,5.0,4.08853790586405,6.0,current,697376297053.8125,,,False
ORCL,0001341439,2022,2022-05-31,109297000000.0,109297000000.0,31633000000.0,19511000000.0,-31336000000.0,10926000000.0,42440000000.0,6717000000.0,9539000000.0,0.0,2664926000.0,,-6220000000.0,12122000000.0,-6220000000.0,71.91999816894531,2808829952.0,1.5020419940549592,0.40492126956824076,5.0,4.278228846466852,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2023,2023-05-31,134384000000.0,133311000000.0,21004000000.0,23090000000.0,-27620000000.0,13093000000.0,49954000000.0,8503000000.0,17165000000.0,,2714259000.0,,1073000000.0,-2086000000.0,1073000000.0,105.94000244140625,2808829952.0,1.6810596804109885,-0.10867872488685912,4.0,3.5255932536369197,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2024,2024-05-31,140976000000.0,132272000000.0,22554000000.0,31544000000.0,-22628000000.0,15353000000.0,52961000000.0,10467000000.0,18673000000.0,,2755860000.0,,8704000000.0,-8990000000.0,8704000000.0,117.19000244140625,2808829952.0,1.89880129158164,-0.14065462154679065,5.0,3.597197279813338,5.0,current,697376297053.8125,,,False
ORCL,0001341439,2025,2025-05-31,168361000000.0,147910000000.0,24579000000.0,32643000000.0,-15481000000.0,17678000000.0,57399000000.0,12443000000.0,20821000000.0,,2808833000.0,,20451000000.0,-8064000000.0,20451000000.0,165.52999877929688,2808829952.0,2.3872854250992477,0.23681780750445156,4.0,3.3301432737608545,6.0,current,697376297053.8125,,,False
META,0001326801,2012,2012-12-31,15103000000.0,3348000000.0,11267000000.0,1052000000.0,1659000000.0,538000000.0,5089000000.0,53000000.0,1612000000.0,1500000000.0,2166000000.0,,11755000000.0,10215000000.0,11755000000.0,26.6200008392334,2168960000.0,11.753056683579496,8.720974597489116,,306.64078009213154,,current,1703132418437.5,,,False
META,0001326801,2013,2013-12-31,17895000000.0,2425000000.0,13070000000.0,1100000000.0,3159000000.0,2804000000.0,7872000000.0,1500000000.0,4222000000.0,0.0,2517000000.0,,15470000000.0,11970000000.0,15470000000.0,54.650001525878906,2168960000.0,36.04079907333262,12.714803155866264,7.0,423.4003944375049,7.0,current,1703132418437.5,,,False
